perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
LPIN3,144,0,19,141,0,19,122,141,0.0,13.194444444444445,97.91666666666666,97.91666666666666,3
LSP1,165,0,85,164,0,85,79,164,0.0,51.515151515151516,99.39393939393939,99.39393939393939,1
LTB,130,0,114,130,0,114,16,130,0.0,87.6923076923077,100.0,100.0,0
LTN1,150,0,44,147,0,44,103,147,0.0,29.333333333333332,98.0,98.0,3
MALAT1,174,0,116,174,0,116,58,174,0.0,66.66666666666666,100.0,100.0,0
MANEA,210,0,25,207,0,25,182,207,0.0,11.904761904761903,98.57142857142858,98.57142857142858,3
MAP1LC3B2,138,0,4,94,0,4,90,94,0.0,2.898550724637681,68.11594202898551,68.11594202898551,44
MAP3K6,138,0,49,135,0,49,86,135,0.0,35.507246376811594,97.82608695652173,97.82608695652173,3
MAST3,159,0,37,156,0,37,119,156,0.0,23.270440251572328,98.11320754716981,98.11320754716981,3
MEGF9,159,0,5,153,0,5,148,153,0.0,3.1446540880503147,96.22641509433963,96.22641509433963,6
MESP1,154,0,82,152,0,82,70,152,0.0,53.246753246753244,98.7012987012987,98.7012987012987,2
MFSD4B,156,0,63,156,0,63,93,156,0.0,40.38461538461539,100.0,100.0,0
MGA,163,0,40,160,0,40,120,160,0.0,24.539877300613497,98.15950920245399,98.15950920245399,3
MICALL2,139,0,45,138,0,45,93,138,0.0,32.37410071942446,99.28057553956835,99.28057553956835,1
MIER3,151,0,77,150,0,77,73,150,0.0,50.993377483443716,99.33774834437085,99.33774834437085,1
MIR762HG,155,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,155
MLEC,182,0,84,181,0,84,97,181,0.0,46.15384615384615,99.45054945054946,99.45054945054946,1
MLH3,138,0,36,137,0,36,101,137,0.0,26.08695652173913,99.27536231884058,99.27536231884058,1
MMP11,115,1,112,114,1,111,2,114,0.8695652173913043,97.3913043478261,99.1304347826087,99.1304347826087,1
MNT,283,0,245,282,0,245,37,282,0.0,86.57243816254417,99.64664310954063,99.64664310954063,1
MOCS2,152,0,6,151,0,6,145,151,0.0,3.9473684210526314,99.3421052631579,99.3421052631579,1
MRPL3,165,0,18,162,0,18,144,162,0.0,10.909090909090908,98.18181818181819,98.18181818181819,3
MRPL34,173,0,15,166,0,15,151,166,0.0,8.670520231213873,95.95375722543352,95.95375722543352,7
MT1E,133,0,99,131,0,99,32,131,0.0,74.43609022556392,98.49624060150376,98.49624060150376,2
MT1F,158,0,75,154,0,75,79,154,0.0,47.46835443037975,97.46835443037975,97.46835443037975,4
MTPAP,227,0,32,225,0,32,193,225,0.0,14.096916299559473,99.11894273127754,99.11894273127754,2
MUS81,164,0,133,162,0,133,29,162,0.0,81.09756097560977,98.78048780487805,98.78048780487805,2
MYEOV,148,1,50,146,1,49,96,146,0.6756756756756757,33.78378378378378,98.64864864864865,98.64864864864865,2
MYH11,119,0,84,117,0,84,33,117,0.0,70.58823529411765,98.31932773109243,98.31932773109243,2
NCEH1,163,0,53,160,0,53,107,160,0.0,32.515337423312886,98.15950920245399,98.15950920245399,3
NCOA5,226,0,172,224,0,172,52,224,0.0,76.10619469026548,99.11504424778761,99.11504424778761,2
NDUFA8,173,0,35,172,0,35,137,172,0.0,20.23121387283237,99.42196531791907,99.42196531791907,1
NDUFAF1,154,0,71,152,0,71,81,152,0.0,46.103896103896105,98.7012987012987,98.7012987012987,2
NEAT1,144,1,96,142,1,95,46,142,0.6944444444444444,66.66666666666666,98.61111111111111,98.61111111111111,2
NFKB2,182,1,160,181,1,159,21,181,0.5494505494505495,87.91208791208791,99.45054945054946,99.45054945054946,1
NFKBIL1,138,0,25,134,0,25,109,134,0.0,18.115942028985508,97.10144927536231,97.10144927536231,4
NME6,295,0,13,288,0,13,275,288,0.0,4.406779661016949,97.6271186440678,97.6271186440678,7
NOS3,176,4,173,174,4,169,1,174,2.272727272727273,98.29545454545455,98.86363636363636,98.86363636363636,2
NOTCH4,127,3,88,125,3,86,37,126,2.3622047244094486,69.29133858267717,98.4251968503937,99.21259842519686,1
NR2C1,178,0,124,174,0,124,50,174,0.0,69.66292134831461,97.75280898876404,97.75280898876404,4
NRP1,131,1,115,129,1,115,14,130,0.7633587786259541,87.78625954198473,98.47328244274809,99.23664122137404,1
NT5C3B,142,0,2,139,0,2,137,139,0.0,1.4084507042253522,97.88732394366197,97.88732394366197,3
NUB1,146,3,31,143,3,28,112,143,2.054794520547945,21.232876712328768,97.94520547945206,97.94520547945206,3
NUCB1,117,1,82,117,1,81,35,117,0.8547008547008548,70.08547008547008,100.0,100.0,0
NUDT1,158,0,76,155,0,76,79,155,0.0,48.10126582278481,98.10126582278481,98.10126582278481,3
NUDT18,159,0,32,159,0,32,127,159,0.0,20.125786163522015,100.0,100.0,0
NUDT3,161,0,22,156,0,22,134,156,0.0,13.664596273291925,96.8944099378882,96.8944099378882,5
NUFIP2,244,0,61,239,0,61,178,239,0.0,25.0,97.95081967213115,97.95081967213115,5
OASL,114,0,49,113,0,49,64,113,0.0,42.98245614035088,99.12280701754386,99.12280701754386,1
OMA1,207,1,156,205,1,155,49,205,0.4830917874396135,75.36231884057972,99.03381642512076,99.03381642512076,2
OPTN,154,2,104,153,2,102,49,153,1.2987012987012987,67.53246753246754,99.35064935064936,99.35064935064936,1
OS9,130,1,45,128,1,44,83,128,0.7692307692307693,34.61538461538461,98.46153846153847,98.46153846153847,2
OTUD7B,147,0,87,147,0,87,60,147,0.0,59.183673469387756,100.0,100.0,0
P2RX7,171,6,164,171,6,158,7,171,3.508771929824561,95.90643274853801,100.0,100.0,0
P4HA2,134,1,60,134,1,59,74,134,0.7462686567164178,44.776119402985074,100.0,100.0,0
PA2G4,234,2,208,230,2,207,22,231,0.8547008547008548,88.88888888888889,98.29059829059828,98.71794871794873,3
