source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS27A,Complex,Complex,IncreaseAmount,0.9419,0.923,0.89,4,3,1,0.053913765,0.0217704873459
PVT1,hgnc:mesh:D001835,hgnc:mesh:D001786,MT-ND1,Activation,Inhibition,DecreaseAmount,0.86,0.86,0.89,2,1,1,0.13433525,0.0218454077844063
PVT1,FOXM1,MIR6865,RPS17,Complex,Inhibition,DecreaseAmount,0.9824999995480095,0.949271,0.89,18,6,1,0.0796451,0.0220915229480133
PVT1,TP53,MAGEB2,AGPAT5,Complex,Activation,DecreaseAmount,0.923,0.923,0.89,3,3,1,0.38035884,0.0221258558865076
PVT1,hgnc:mesh:D009369,POU2F1,BACE2,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.86,0.79,1,1,1,0.32390845,0.0229816315808885
PVT1,hgnc:uniprot:P86981,IL4,SLC25A6,Complex,Complex,IncreaseAmount,0.86,0.949999468559,0.979665,2,12,5,0.13803473,0.0232747050398977
PVT1,hgnc:uniprot:Q9W4S7,PAX4,CACNG8,Complex,Complex,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.35327482,0.0235513637662683
PVT1,hgnc:fplx:TGFB,hgnc:chebi:4903,DDX27,Activation,Activation,DecreaseAmount,0.979665,0.86,0.89,1,2,1,0.36478794,0.0235528751098167
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:mesh:D042783,GATA2,Complex,Complex,IncreaseAmount,0.94757,0.95,0.86,5,85,2,0.653495,0.0238461445655143
PVT1,hgnc:uniprot:Q9W4S7,PSG11,MCRIP2,Complex,Complex,DecreaseAmount,0.86,0.9499999956953279,0.89,2,16,1,0.5268033,0.0243409308506199
PVT1,UPF1,hgnc:uniprot:P03409,RPL6,Complex,Complex,IncreaseAmount,0.86,0.86,0.9419,2,2,4,0.0577372,0.0243954137508694
PVT1,YAP1,hgnc:mesh:D000952,ATP11C,Complex,Complex,IncreaseAmount,0.9419,0.9419,0.89,4,4,1,0.45864308,0.0258790416303061
PVT1,HIF1A,MYT1,SLC39A10,Complex,Complex,IncreaseAmount,0.94757,0.991866,0.86,5,6,2,0.38265717,0.0259414215297426
PVT1,hgnc:mesh:D009369,ATF2,AK3,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.923,0.79,1,1,1,0.34449977,0.0260253462211695
PVT1,YAP1,hgnc:mesh:D000952,EEF1G,Complex,Complex,DecreaseAmount,0.9419,0.9419,0.89,4,4,1,0.12244434,0.0260368835960734
PVT1,hgnc:uniprot:Q08193,hgnc:fplx:CREB,POLD2,Complex,Activation,IncreaseAmount,0.949271,0.86,0.8775000000000001,6,1,1,0.3529399,0.0265271377786926
PVT1,YY1,hgnc:chebi:61049,IMP4,Complex,Complex,DecreaseAmount,0.86,0.951,0.89,2,3,1,0.36813948,0.0268251016908656
