source,target,classification
FAIM,DNAJC8,experimental_pairs
RGS12,TEAD1,experimental_pairs
B3GNT8,NFIB,experimental_pairs
REPIN1,CLEC11A,experimental_pairs
TMED10,NDUFS1,experimental_pairs
CPNE5,F2R,experimental_pairs
PDCD6,PSMB2,experimental_pairs
P4HA2,EP300,experimental_pairs
TTC32,ZNF433-AS1,experimental_pairs
COASY,USP14,experimental_pairs
QRICH2,MIR217HG,experimental_pairs
NUDT18,NCSTN,experimental_pairs
HMGCR,NUP50,experimental_pairs
NCOA5,AXL,experimental_pairs
TSLP,LXN,experimental_pairs
ARNT,ZC3H14,experimental_pairs
DET1,RCN2,experimental_pairs
DGCR6L,IMPAD1,experimental_pairs
NCOA5,PJA2,experimental_pairs
PDCD6,ANAPC11,experimental_pairs
CDCA2,TMX4,experimental_pairs
B3GNT8,PSMA3,experimental_pairs
EVL,CBLL1,experimental_pairs
KPNA2,ATP5MF,experimental_pairs
MEGF9,PTRHD1,experimental_pairs
SCARB1,BZW1,experimental_pairs
NCOA5,CHURC1,experimental_pairs
TMED10,TXNDC15,experimental_pairs
TRIM47,CCT6A,experimental_pairs
PMAIP1,TIMP1,experimental_pairs
RAD50,FDFT1,experimental_pairs
LTB,GDI2,experimental_pairs
PDP1,MT-ND2,experimental_pairs
DMXL1,RPL13,experimental_pairs
ZDHHC18,SCRN1,experimental_pairs
PMAIP1,UBE2D3,experimental_pairs
GABARAPL2,TRAPPC2L,experimental_pairs
ABCA5,HMGN2,experimental_pairs
CDKN2B,RPL35,experimental_pairs
GSTM2,TCEAL9,experimental_pairs
ZNF764,STRN3,experimental_pairs
NFKB2,CD99,experimental_pairs
DKK1,RPL39,experimental_pairs
CYTH3,ATP6V0C,experimental_pairs
PLPP3,SNX2,experimental_pairs
TBCEL,SLC25A39,experimental_pairs
GPSM3,MAP4,experimental_pairs
PRKD1,ACTB,experimental_pairs
STAT5A,DPH5,experimental_pairs
OMA1,POLR2I,experimental_pairs
DKK1,ZMAT2,experimental_pairs
FZD6,UBE2V2,experimental_pairs
TRPC4AP,LRRFIP1,experimental_pairs
ARPC2,FN1,experimental_pairs
AMT,CBR1,experimental_pairs
PA2G4,BRI3,experimental_pairs
IQGAP1,SRGAP1,experimental_pairs
LTB,ALYREF,experimental_pairs
MAP1LC3B2,PCMT1,experimental_pairs
MLH3,PFDN5,experimental_pairs
CYP2J2,PDCD10,experimental_pairs
HEATR5B,NLGN1,experimental_pairs
SH3RF1,SCNM1,experimental_pairs
AKAP12,FZD6,experimental_pairs
EGR1,SEC14L2,experimental_pairs
NDUFAF1,GRHPR,experimental_pairs
PHF19,CDK5,experimental_pairs
ACAD11,CD63,experimental_pairs
ARPC2,PDIA3,experimental_pairs
LIPG,PNN,experimental_pairs
IGFBP2,NDUFB7,experimental_pairs
SIX2,GNAS,experimental_pairs
ACTG1,PSENEN,experimental_pairs
POLG2,RSL1D1,experimental_pairs
TMEM9,MARCKS,experimental_pairs
QTRT1,TWISTNB,experimental_pairs
ZSWIM3,ATG3,experimental_pairs
MYEOV,LEPROT,experimental_pairs
SVIL,COX7A2L,experimental_pairs
RNFT1,HNRNPA3,experimental_pairs
AGAP3,FAM50A,experimental_pairs
UHRF1BP1,SNRPB,experimental_pairs
TMEM9,TOMM40,experimental_pairs
EMP2,SDHC,experimental_pairs
GRB14,UXT,experimental_pairs
LAPTM4A,TMEM54,experimental_pairs
NUDT3,EFHD2,experimental_pairs
IQGAP1,NDUFAB1,experimental_pairs
GPSM3,KHSRP,experimental_pairs
RSPO3,GARS-DT,experimental_pairs
ARPC2,SMARCC1,experimental_pairs
CYTH3,MARCKSL1,experimental_pairs
ZSCAN29,PELP1,experimental_pairs
GSTM4,AK6,experimental_pairs
PDP1,EAPP,experimental_pairs
GSTM2,CDK6,experimental_pairs
RNFT1,EIF3B,experimental_pairs
