source,intermediate,target,stmt_type_1,stmt_type_2,belief_1,belief_2,evidence_1,evidence_2,logfoldchange,pvalue
SMAD3,hgnc:5962,FLT1,IncreaseAmount,DecreaseAmount,0.79,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,IncreaseAmount,DecreaseAmount,0.9265,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5962,FLT1,Phosphorylation,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5724,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5724,FLT1,Complex,IncreaseAmount,0.94757,0.65,5,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5724,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5724,FLT1,Complex,IncreaseAmount,0.9970938564177,0.65,13,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6014,FLT1,Activation,IncreaseAmount,0.8775000000000001,0.951,2,3,0.5718594,0.0003684610745881
SMAD3,hgnc:6014,FLT1,IncreaseAmount,IncreaseAmount,0.86,0.951,2,3,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,IncreaseAmount,IncreaseAmount,0.9804,0.65,4,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Complex,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Activation,IncreaseAmount,0.949271,0.65,6,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Complex,IncreaseAmount,0.99289794,0.65,8,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,Inhibition,IncreaseAmount,0.979665,0.65,5,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5360,FLT1,DecreaseAmount,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5318,FLT1,Activation,DecreaseAmount,0.8775000000000001,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:5318,FLT1,IncreaseAmount,DecreaseAmount,0.9846,0.65,3,1,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,DecreaseAmount,0.923,0.8775000000000001,3,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,DecreaseAmount,0.65,0.8775000000000001,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Activation,DecreaseAmount,0.65,0.8775000000000001,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,IncreaseAmount,DecreaseAmount,0.65,0.8775000000000001,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,DecreaseAmount,0.86,0.8775000000000001,2,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,DecreaseAmount,0.9999989281249886,0.8775000000000001,59,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,IncreaseAmount,DecreaseAmount,0.86,0.8775000000000001,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,IncreaseAmount,0.923,0.9962714185,3,8,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Complex,IncreaseAmount,0.65,0.9962714185,1,8,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,Activation,IncreaseAmount,0.65,0.9962714185,1,8,0.5718594,0.0003684610745881
SMAD3,hgnc:4910,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.9962714185,1,8,0.5718594,0.0003684610745881
