source,target,stmt_type,belief,evidence_count,logfoldchange,pval
TP53,CYCS,IncreaseAmount,0.65,1,0.54931784,1.1312772673445543e-09
TP53,CYCS,IncreaseAmount,0.9499999999968619,21,0.54931784,1.1312772673445543e-09
TP53,CKAP2,IncreaseAmount,0.65,1,0.6578836,0.0109833636185775
TP53,PLK2,IncreaseAmount,0.65,1,-0.8090967,1.8288674275055618e-12
TP53,PLK2,IncreaseAmount,0.65,1,-0.8090967,1.8288674275055618e-12
TP53,PLK2,IncreaseAmount,0.9419,2,-0.8090967,1.8288674275055618e-12
TP53,HDAC2,DecreaseAmount,0.65,1,0.37663847,0.0016079582148563
TP53,GRN,IncreaseAmount,0.65,1,-0.43358615,0.0005224439624877
TP53,GNAI2,DecreaseAmount,0.79,1,-0.18242152,0.0161667027736218
TP53,PHLDA3,IncreaseAmount,0.65,1,-1.0110936,1.5542330443073967e-05
TP53,PHLDA3,DecreaseAmount,0.65,1,-1.0110936,1.5542330443073967e-05
TP53,PHGDH,DecreaseAmount,0.9497812999999999,7,1.2341571,5.533634594425749e-07
TP53,PGP,IncreaseAmount,0.923,1,0.7339372,1.0352180726481657e-06
TP53,PGP,IncreaseAmount,0.86,2,0.7339372,1.0352180726481657e-06
TP53,TP53I3,IncreaseAmount,0.998376,1,-0.6975582,0.0026696446935102
TP53,TP53I3,IncreaseAmount,0.99594,1,-0.6975582,0.0026696446935102
TP53,TP53I3,IncreaseAmount,0.9884,4,-0.6975582,0.0026696446935102
TP53,TP53I3,DecreaseAmount,0.951,3,-0.6975582,0.0026696446935102
TP53,TP53I3,IncreaseAmount,0.999999382944619,11,-0.6975582,0.0026696446935102
TP53,CHEK1,DecreaseAmount,0.9996804386785352,16,0.8111619,0.0263333635078582
TP53,CHEK1,IncreaseAmount,0.979665,5,0.8111619,0.0263333635078582
TP53,AATF,IncreaseAmount,0.65,1,0.64501095,0.0171147838116944
TP53,CHAF1A,DecreaseAmount,0.65,1,2.2157657,0.000267788358177
TP53,CKS1B,IncreaseAmount,0.65,1,1.6349658,5.850047181956473e-16
TP53,CKS1B,IncreaseAmount,0.8775000000000001,1,1.6349658,5.850047181956473e-16
TP53,CKS1B,DecreaseAmount,0.923,3,1.6349658,5.850047181956473e-16
TP53,CES2,IncreaseAmount,0.94757,5,-0.64034134,0.0334009161264048
TP53,GAPDH,IncreaseAmount,0.982423455,8,0.06696885,0.0129897905323339
TP53,GADD45A,IncreaseAmount,0.941,1,-0.4606547,0.0422558204552754
TP53,GADD45A,DecreaseAmount,0.999644897,9,-0.4606547,0.0422558204552754
TP53,GADD45A,IncreaseAmount,0.9419,4,-0.4606547,0.0422558204552754
TP53,GADD45A,IncreaseAmount,0.999999670064625,47,-0.4606547,0.0422558204552754
TP53,TOP2A,DecreaseAmount,0.9497812999999999,7,2.046451,5.593326591556468e-13
TP53,TNFRSF10D,IncreaseAmount,0.65,1,-0.4926728,0.0156029490909746
TP53,TNFRSF10D,IncreaseAmount,0.65,1,-0.4926728,0.0156029490909746
TP53,TNFRSF10D,IncreaseAmount,0.987799,3,-0.4926728,0.0156029490909746
TP53,TNFRSF10B,DecreaseAmount,0.65,1,-0.44505677,0.0103649614210969
TP53,TNFRSF10B,IncreaseAmount,0.99863589,3,-0.44505677,0.0103649614210969
TP53,TNFRSF10B,DecreaseAmount,0.9816495,5,-0.44505677,0.0103649614210969
TP53,TNFRSF10B,IncreaseAmount,0.65,1,-0.44505677,0.0103649614210969
TP53,TNFRSF10B,IncreaseAmount,0.86,1,-0.44505677,0.0103649614210969
TP53,TNFRSF10B,IncreaseAmount,0.9999999971114971,57,-0.44505677,0.0103649614210969
TP53,AHSA1,IncreaseAmount,0.86,2,0.41515166,0.0112461135813948
TP53,AHSA1,DecreaseAmount,0.65,1,0.41515166,0.0112461135813948
TP53,TMSB4X,IncreaseAmount,0.65,1,-0.30365926,7.47049450651928e-17
TP53,TIGAR,IncreaseAmount,0.941,1,-0.73396367,0.0010832756159258
TP53,TIGAR,IncreaseAmount,0.65,1,-0.73396367,0.0010832756159258
TP53,TIGAR,DecreaseAmount,0.65,1,-0.73396367,0.0010832756159258
TP53,TIGAR,DecreaseAmount,0.65,1,-0.73396367,0.0010832756159258
TP53,TIGAR,DecreaseAmount,0.9970949999249695,19,-0.73396367,0.0010832756159258
TP53,TIGAR,IncreaseAmount,0.86,2,-0.73396367,0.0010832756159258
TP53,TIGAR,IncreaseAmount,0.9999874024675,66,-0.73396367,0.0010832756159258
TP53,THBS1,DecreaseAmount,0.65,1,-0.86001855,1.09895192047361e-06
TP53,THBS1,IncreaseAmount,0.99351,2,-0.86001855,1.09895192047361e-06
TP53,PDCD4,DecreaseAmount,0.65,1,-0.43162024,0.0361064735222571
TP53,PCNA,DecreaseAmount,0.65,1,0.7841587,0.0006385676077867
TP53,PCNA,IncreaseAmount,0.86,2,0.7841587,0.0006385676077867
TP53,PCNA,IncreaseAmount,0.65,1,0.7841587,0.0006385676077867
TP53,PCNA,DecreaseAmount,0.982497933285,10,0.7841587,0.0006385676077867
TP53,PCNA,IncreaseAmount,0.9998135708714989,20,0.7841587,0.0006385676077867
TP53,PAICS,IncreaseAmount,0.65,1,0.52247685,0.0002928630393876
TP53,PAICS,IncreaseAmount,0.86,1,0.52247685,0.0002928630393876
TP53,SERPINE1,DecreaseAmount,0.86,2,-0.40745935,3.484367114083835e-09
TP53,SERPINE1,IncreaseAmount,0.65,1,-0.40745935,3.484367114083835e-09
TP53,SERPINE1,DecreaseAmount,0.982423455,6,-0.40745935,3.484367114083835e-09
TP53,SERPINE1,IncreaseAmount,0.99981600888325,39,-0.40745935,3.484367114083835e-09
TP53,CENPA,DecreaseAmount,0.86,2,1.6164039,0.0019558284809339
TP53,RPS27L,IncreaseAmount,0.65,1,-1.0066704,3.4315723838186503e-40
TP53,RPS27L,DecreaseAmount,0.9706,3,-1.0066704,3.4315723838186503e-40
TP53,RPS27L,IncreaseAmount,0.9943405,4,-1.0066704,3.4315723838186503e-40
TP53,CEBPB,DecreaseAmount,0.65,1,0.42326978,0.0237662138221944
TP53,CEBPB,IncreaseAmount,0.65,1,0.42326978,0.0237662138221944
TP53,CEBPB,IncreaseAmount,0.94757,4,0.42326978,0.0237662138221944
TP53,KHDRBS1,IncreaseAmount,0.65,1,0.3608642,4.690008042487256e-06
TP53,KHDRBS1,DecreaseAmount,0.65,1,0.3608642,4.690008042487256e-06
TP53,TP53INP1,DecreaseAmount,0.65,1,-1.0480103,0.009632554208212
TP53,TP53INP1,IncreaseAmount,0.65,1,-1.0480103,0.009632554208212
TP53,TP53INP1,DecreaseAmount,0.98922,4,-1.0480103,0.009632554208212
TP53,TP53INP1,IncreaseAmount,0.9963249964845178,15,-1.0480103,0.009632554208212
TP53,FOXM1,IncreaseAmount,0.65,1,1.7786158,9.598379167772748e-05
TP53,FOXM1,IncreaseAmount,0.65,1,1.7786158,9.598379167772748e-05
TP53,FOXM1,DecreaseAmount,0.65,1,1.7786158,9.598379167772748e-05
TP53,FOXM1,IncreaseAmount,0.65,1,1.7786158,9.598379167772748e-05
TP53,FOXM1,DecreaseAmount,0.94757,5,1.7786158,9.598379167772748e-05
TP53,FOXM1,IncreaseAmount,0.94993439,6,1.7786158,9.598379167772748e-05
TP53,FOXM1,DecreaseAmount,0.99923,46,1.7786158,9.598379167772748e-05
TP53,FOXM1,IncreaseAmount,0.9824999998644028,10,1.7786158,9.598379167772748e-05
TP53,FNTA,IncreaseAmount,0.941,1,0.41752157,0.0025271980514714
TP53,FN1,IncreaseAmount,0.97305,4,-0.8264619,3.8659446965525104e-15
TP53,FN1,DecreaseAmount,0.98224485,7,-0.8264619,3.8659446965525104e-15
TP53,FHL2,IncreaseAmount,0.65,1,-0.30038086,0.0078672954185689
TP53,FHL2,IncreaseAmount,0.9972510951,9,-0.30038086,0.0078672954185689
TP53,FHL2,DecreaseAmount,0.8775000000000001,2,-0.30038086,0.0078672954185689
TP53,THBS1,DecreaseAmount,0.65,1,-0.86001855,1.09895192047361e-06
TP53,THBS1,DecreaseAmount,0.9961499963171139,15,-0.86001855,1.09895192047361e-06
TP53,THBS1,IncreaseAmount,0.9999996597293,30,-0.86001855,1.09895192047361e-06
TP53,THBS1,IncreaseAmount,0.65,1,-0.86001855,1.09895192047361e-06
TP53,TGM2,IncreaseAmount,0.98922,5,-0.24516019,5.876558490854744e-06
TP53,TGFBR2,DecreaseAmount,0.86,1,-0.3990123,0.0024693369833782
TP53,TGFBR2,DecreaseAmount,0.65,1,-0.3990123,0.0024693369833782
TP53,TGFBR2,IncreaseAmount,0.65,1,-0.3990123,0.0024693369833782
TP53,TFRC,IncreaseAmount,0.86,1,1.0293921,2.7502191555076985e-05
TP53,TFRC,DecreaseAmount,0.8775000000000001,2,1.0293921,2.7502191555076985e-05
TP53,TFRC,IncreaseAmount,0.65,1,1.0293921,2.7502191555076985e-05
TP53,TFAM,DecreaseAmount,0.9943405,5,0.57043606,0.0011415440789939
TP53,TFAM,IncreaseAmount,0.65,1,0.57043606,0.0011415440789939
TP53,TFAM,IncreaseAmount,0.949999468559,11,0.57043606,0.0011415440789939
TP53,CEP55,IncreaseAmount,0.65,1,2.0392964,1.5993704849445364e-10
TP53,TBPL1,IncreaseAmount,0.86,2,0.49073693,0.0454806203855384
TP53,TBPL1,DecreaseAmount,0.949980317,8,0.49073693,0.0454806203855384
TP53,TBPL1,DecreaseAmount,0.65,1,0.49073693,0.0454806203855384
TP53,PA2G4,DecreaseAmount,0.79,1,0.41088456,5.863582036286113e-10
TP53,P4HA2,IncreaseAmount,0.65,1,-0.33593905,0.0190558599838515
TP53,NUP98,DecreaseAmount,0.65,1,0.57327527,0.0478479875462933
TP53,NUP98,IncreaseAmount,0.65,1,0.57327527,0.0478479875462933
TP53,YBX1,DecreaseAmount,0.65,1,0.18789914,9.74632226910277e-07
TP53,YBX1,IncreaseAmount,0.65,1,0.18789914,9.74632226910277e-07
TP53,NRP2,IncreaseAmount,0.86,1,-0.31810653,0.002677039316372
TP53,NRP2,IncreaseAmount,0.65,1,-0.31810653,0.002677039316372
TP53,ATOX1,IncreaseAmount,0.65,1,-0.23154056,0.0004193318010559
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.998598208,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.99889936587189,5,-1.6007928,1.7810449500852907e-35
