source,target,stmt_type,english_stmt,belief,evidence_count,logfoldchange,pval,stmt_hash,source_counts
TRAF6,MYC,IncreaseAmount,,0.5256427349609928,4,-0.42089328,0.0438001448855314,-13736336133713777,{'reach': 4}
NFKB2,CTNNB1,IncreaseAmount,,0.48445268803510766,1,0.29797214,0.0227194669202476,-23799057591147394,{'reach': 1}
NFKB2,CD99,DecreaseAmount,,0.6324007949925685,1,-0.11854488,0.0016388613553889,-12999560624339965,{'medscan': 1}
RBFOX2,PTEN,IncreaseAmount,,0.47153156304100474,2,-0.5598252,0.0382648088290242,-30583059253335879,{'reach': 2}
RBFOX2,PTEN,IncreaseAmount,,0.5256427349609928,2,-0.5598252,0.0382648088290242,27394958898578933,{'reach': 2}
RBFOX2,PRPF6,DecreaseAmount,,0.47385749870081684,1,-0.4597227,0.0083578094361105,-5504344806336417,{'reach': 1}
UBA5,UFM1,DecreaseAmount,,0.4684848027297138,2,0.33813715,0.0437485720958278,3016119092865152,{'reach': 2}
IGFBP2,STAT3,IncreaseAmount,,0.5256427349609928,4,-0.57174045,0.0344555474446345,-17266516382856786,{'reach': 4}
REPIN1,CLEC14A,DecreaseAmount,,0.6301266297471854,1,0.2927857,0.0347173231770352,16946644848103846,{'pc': 1}
REPIN1,RNF216,DecreaseAmount,,0.6301266297471854,1,0.47380176,0.0347770677517664,-2448949271225885,{'pc': 1}
REPIN1,PLAAT3,DecreaseAmount,,0.6301266297471854,1,0.2958915,0.037793348622002,7542101164671700,{'pc': 1}
REPIN1,RAB5B,DecreaseAmount,,0.6301266297471854,1,0.40847537,0.0397674514632104,14139003348706148,{'pc': 1}
REPIN1,DUSP1,DecreaseAmount,,0.6301266297471854,1,-0.56085104,0.0478236510474421,3918397669123861,{'pc': 1}
REPIN1,CALM3,DecreaseAmount,,0.6309317981560123,2,-0.22371696,0.0428243380850227,8248369778352768,{'pc': 2}
REPIN1,RABAC1,DecreaseAmount,,0.6301266297471854,1,-0.14038385,0.0384902499153413,-626641117889922,{'pc': 1}
REPIN1,MEF2C,DecreaseAmount,,0.6301266297471854,1,-0.717929,0.0350557434524507,4596238676734086,{'pc': 1}
REPIN1,NOVA1,DecreaseAmount,,0.6301266297471854,1,-0.40611282,0.0210704380210996,18354420019231280,{'pc': 1}
REPIN1,POLR3GL,DecreaseAmount,,0.6301266297471854,1,-0.43364325,0.0099331183864892,-24452726003864308,{'pc': 1}
DKK1,CDKN1A,DecreaseAmount,,0.4684848027297138,2,0.29268342,0.0174239018375208,1742768052849246,{'reach': 2}
DKK1,CDKN1A,IncreaseAmount,,0.4848522412157821,9,0.29268342,0.0174239018375208,22401491583900213,{'reach': 9}
DKK1,CDKN1A,DecreaseAmount,,0.5100675941677202,3,0.29268342,0.0174239018375208,-6832598890024591,{'reach': 3}
DKK1,THBS1,IncreaseAmount,,0.48445268803510766,1,0.41602436,0.0421731683979122,-22278481293741856,{'reach': 1}
DKK1,HDGF,DecreaseAmount,,0.6324007949925685,1,-0.6122979,0.0012924014622371,14851653649017814,{'medscan': 1}
DKK1,HDGF,IncreaseAmount,,0.6163664161553967,1,-0.6122979,0.0012924014622371,-34473090626220965,{'medscan': 1}
FYN,TGM2,IncreaseAmount,,0.48445268803510766,1,0.14053017,0.0224229452219996,30392140847245608,{'reach': 1}
FYN,MAPRE1,DecreaseAmount,,0.47385749870081684,1,0.3509116,0.0231804814237057,2493841879195887,{'reach': 1}
RAB13,STAT3,DecreaseAmount,,0.47385749870081684,1,-0.5376513,0.0381684960990284,-32941296160540799,{'reach': 1}
PAK2,CDKN1A,IncreaseAmount,,0.48445268803510766,1,-0.3357858,0.0292337219481795,-10569431696735044,{'reach': 1}
PAK2,CDKN1A,DecreaseAmount,,0.47385749870081684,1,-0.3357858,0.0292337219481795,-12044477663682804,{'reach': 1}
ST3GAL4,EDN1,IncreaseAmount,,0.5028536023408147,3,-0.57079846,0.0382931753946243,-12026400418937335,{'reach': 3}
ST3GAL4,NFE2L1,DecreaseAmount,,0.4684848027297138,2,-0.50311095,0.0318641015979841,35167835581496144,{'reach': 2}
